date,demand,gap,supply
2014-09-24 22:00:00,-1031,-55,1086
2014-09-24 23:00:00,-767,-51,818
2014-09-24 24:00:00,-503,-86,589
2014-09-25 01:00:00,-240,-44,284
2014-09-25 02:00:00,-129,-24,153
2014-09-25 03:00:00,-64,-7,71
2014-09-25 04:00:00,-47,-2,49
2014-09-25 05:00:00,-48,5,43
2014-09-25 06:00:00,-156,37,119
2014-09-25 07:00:00,-568,31,537
2014-09-25 08:00:00,-414,-29,443
2014-09-25 09:00:00,-484,88,396
2014-09-25 10:00:00,-908,-80,988
2014-09-25 11:00:00,-237,-25,262
2014-09-25 12:00:00,-284,25,259
2014-09-25 13:00:00,-398,32,366
2014-09-25 14:00:00,-491,-23,514
2014-09-25 15:00:00,-687,91,596
2014-09-25 16:00:00,-905,0,905
2014-09-25 17:00:00,-1368,167,1201
2014-09-25 18:00:00,-1937,129,1808
2014-09-25 19:00:00,-2394,34,2360
2014-09-25 20:00:00,-1681,-197,1878
2014-09-25 21:00:00,-1142,-67,1209
2014-09-25 22:00:00,-902,-52,954
2014-09-25 23:00:00,-680,-48,728
2014-09-25 24:00:00,-486,-43,529
2014-09-26 01:00:00,-300,-34,334
2014-09-26 02:00:00,-140,-34,174
2014-09-26 03:00:00,-100,1,99
2014-09-26 04:00:00,-63,-6,69
2014-09-26 05:00:00,-66,10,56
2014-09-26 06:00:00,-185,32,153
2014-09-26 07:00:00,-765,111,654
2014-09-26 08:00:00,-1668,231,1437
2014-09-26 09:00:00,-2883,257,2626
2014-09-26 10:00:00,-2382,-281,2663
2014-09-26 11:00:00,-1434,-15,1449
2014-09-26 12:00:00,-1519,20,1499
2014-09-26 13:00:00,-1763,52,1711
2014-09-26 14:00:00,-1884,52,1832
2014-09-26 15:00:00,-2014,75,1939
2014-09-26 16:00:00,-2147,36,2111
2014-09-26 17:00:00,-2843,189,2654
2014-09-26 18:00:00,-3716,115,3601
2014-09-26 19:00:00,-3300,-164,3464
2014-09-26 20:00:00,-2118,-304,2422
2014-09-26 21:00:00,-1386,-117,1503
2014-09-26 22:00:00,-964,-93,1057
2014-09-26 23:00:00,-820,-34,854
2014-09-26 24:00:00,-656,-63,719
2014-09-27 01:00:00,-506,-23,529
2014-09-27 02:00:00,-359,-36,395
2014-09-27 03:00:00,-282,-4,286
2014-09-27 04:00:00,-153,-26,179
2014-09-27 05:00:00,-107,-15,122
2014-09-27 06:00:00,-60,1,59
2014-09-27 07:00:00,-148,30,118
2014-09-27 08:00:00,-368,52,316
2014-09-27 09:00:00,-803,96,707
2014-09-27 10:00:00,-1313,148,1165
2014-09-27 11:00:00,-1626,68,1558
2014-09-27 12:00:00,-2098,252,1846
2014-09-27 13:00:00,-2357,61,2296
2014-09-27 14:00:00,-2518,101,2417
2014-09-27 15:00:00,-2445,-69,2514
2014-09-27 16:00:00,-2748,136,2612
2014-09-27 17:00:00,-2474,-83,2557
2014-09-27 18:00:00,-2401,-100,2501
2014-09-27 19:00:00,-2183,-117,2300
2014-09-27 20:00:00,-1688,-186,1874
2014-09-27 21:00:00,-1172,-116,1288
2014-09-27 22:00:00,-850,-81,931
2014-09-27 23:00:00,-849,8,841
2014-09-27 24:00:00,-685,-72,757
2014-09-28 01:00:00,-551,-22,573
2014-09-28 02:00:00,-350,-71,421
2014-09-28 03:00:00,-266,-6,272
2014-09-28 04:00:00,-132,-25,157
2014-09-28 05:00:00,-105,0,105
2014-09-28 06:00:00,-61,-4,65
2014-09-28 07:00:00,-124,26,98
2014-09-28 08:00:00,-273,41,232
2014-09-28 09:00:00,-580,69,511
2014-09-28 10:00:00,-1107,168,939
2014-09-28 11:00:00,-1498,170,1328
2014-09-28 12:00:00,-1996,125,1871
2014-09-28 13:00:00,-2374,118,2256
2014-09-28 14:00:00,-2440,10,2430
2014-09-28 15:00:00,-2394,0,2394
2014-09-28 16:00:00,-2504,33,2471
2014-09-28 17:00:00,-2712,8,2704
2014-09-28 18:00:00,-2394,-127,2521
2014-09-28 19:00:00,-2362,-57,2419
2014-09-28 20:00:00,-1712,-219,1931
2014-09-28 21:00:00,-1182,-133,1315
2014-09-28 22:00:00,-856,-55,911
2014-09-28 23:00:00,-664,-71,735
2014-09-28 24:00:00,-384,-52,436
2014-09-29 01:00:00,-232,-18,250
2014-09-29 02:00:00,-90,-37,127
2014-09-29 03:00:00,-57,-3,60
2014-09-29 04:00:00,-31,-2,33
2014-09-29 05:00:00,-56,6,50
2014-09-29 06:00:00,-191,46,145
2014-09-29 07:00:00,-905,137,768
2014-09-29 08:00:00,-1933,286,1647
2014-09-29 09:00:00,-3124,257,2867
2014-09-29 10:00:00,-2304,-347,2651
2014-09-29 11:00:00,-1301,-130,1431
2014-09-29 12:00:00,-1264,51,1213
2014-09-29 13:00:00,-1481,31,1450
2014-09-29 14:00:00,-1507,-26,1533
2014-09-29 15:00:00,-1555,75,1480
2014-09-29 16:00:00,-1706,19,1687
2014-09-29 17:00:00,-2259,134,2125
2014-09-29 18:00:00,-3589,251,3338
2014-09-29 19:00:00,-3469,-120,3589
2014-09-29 20:00:00,-2245,-250,2495
2014-09-29 21:00:00,-1557,-126,1683
2014-09-29 22:00:00,-1085,-87,1172
2014-09-29 23:00:00,-786,-85,871
2014-09-29 24:00:00,-434,-54,488
2014-09-30 01:00:00,-220,-40,260
2014-09-30 02:00:00,-119,-11,130
2014-09-30 03:00:00,-70,-2,72
2014-09-30 04:00:00,-35,-9,44
2014-09-30 05:00:00,-53,3,50
2014-09-30 06:00:00,-256,59,197
2014-09-30 07:00:00,-1044,168,876
2014-09-30 08:00:00,-2140,264,1876
2014-09-30 09:00:00,-3389,228,3161
2014-09-30 10:00:00,-2387,-362,2749
2014-09-30 11:00:00,-1422,-83,1505
2014-09-30 12:00:00,-1378,14,1364
2014-09-30 13:00:00,-1588,48,1540
2014-09-30 14:00:00,-1570,-26,1596
2014-09-30 15:00:00,-1580,2,1578
2014-09-30 16:00:00,-1723,60,1663
2014-09-30 17:00:00,-2084,88,1996
2014-09-30 18:00:00,-3676,320,3356
2014-09-30 19:00:00,-3793,-72,3865
2014-09-30 20:00:00,-2512,-266,2778
2014-09-30 21:00:00,-1666,-139,1805
2014-09-30 22:00:00,-1150,-113,1263
2014-09-30 23:00:00,-802,-67,869
2014-09-30 24:00:00,-436,-79,515
